LF1|LF2|Synonym
abattoirs|abattoir|Y
abbreviations|abbreviation|Y
abdomens|abdomen|Y
abdominal|abdomen|Y
aberrations|aberration|Y
abetalipoproteinemias|abetalipoproteinemia|Y
ability|abilities|Y
abnormal|abn|Y
abnormality|abnormalities|Y
abomasums|abomasum|Y
aborigines|aborigine|Y
abortifacients|abortifacient|Y
abortions|abortion|Y
abrasions|abrasion|Y
abreactions|abreaction|Y
abridge|abbreviation|Y
abscesses|abscess|Y
absences|absence|Y
absent|absence|Y
absenteeisms|absenteeism|Y
absorptiometry|absorptiometries|Y
absorptions|absorption|Y
abstinences|abstinence|Y
abstractings|abstracting|Y
abstracts|abstract|Y
abuses|abuse|Y
abutments|abutment|Y
academic|univ|Y
academies|acad|Y
academy|acad|Y
acanthocheilonemiasis|acanthocheilonemiases|Y
acanthocytes|acanthocyte|Y
acantholysis|acantholyses|Y
acariasis|acariases|Y
accelerations|acceleration|Y
accelerators|accelerator|Y
accelography|accelographies|Y
acceptability|acceptabilities|Y
acceptances|acceptance|Y
acceptors|acceptor|Y
accesses|access|Y
accessibility|accessibilities|Y
accidents|accident|Y
acclimatizations|acclimatization|Y
accommodations|accommodation|Y
accountability|accountabilities|Y
accountings|accounting|Y
accreditations|accreditation|Y
accretas|accreta|Y
acculturations|acculturation|Y
accumbens|accumben|Y
acenaphthenes|acenaphthene|Y
acetabulums|acetabulum|Y
acetals|acetal|Y
acetamides|acetamide|Y
acetanilide|acetanilid|Y
acetanilides|acetanilid|Y
acetates|acetate|Y
aceto|acetate|Y
acetoacetates|acetoacetate|Y
acetonitriles|acetonitrile|Y
acetophenones|acetophenone|Y
acetylases|acetylase|Y
acetylations|acetylation|Y
acetyldigitoxins|acetyldigitoxin|Y
acetyldigoxins|acetyldigoxin|Y
acetylmuramylpeptides|acetylmuramylpeptide|Y
acetylphenylalanyl|acetylphenylalanine|Y
acetylthiamine|acetylthiamin|Y
acetyltransferases|acetyltransferase|Y
acetylvalyl|acetylvaline|Y
achalasias|achalasia|Y
achievements|achievement|Y
achondroplasias|achondroplasia|Y
achromians|achromian|Y
acidosis|acidoses|Y
acids|acid|Y
aclacinomycins|aclacinomycin|Y
aclasis|aclases|Y
acnes|acne|Y
aconitans|aconitan|Y
acoustics|acoustic|Y
acquisitions|acquisition|Y
acridines|acridine|Y
acrocephalosyndactylias|acrocephalosyndactylia|Y
acrocephaly|acrocephalies|Y
acrodermatitis|acrodermatitides|Y
acrodynias|acrodynia|Y
acromegaly|acromegalies|Y
acromions|acromion|Y
acrosomes|acrosome|Y
acrylamides|acrylamide|Y
acrylates|acrylate|Y
actinides|actinide|Y
actinobacillosis|actinobacilloses|Y
actinoidins|actinoidin|Y
actinomycetes|actinomycete|Y
actinomycosis|actinomycoses|Y
actinotherapy|actinotherapies|Y
actins|actin|Y
actions|action|Y
activations|activation|Y
activator|activating|Y
activators|activating|Y
activity|activities|Y
acts|act|Y
acuity|acuities|Y
aculeacins|aculeacin|Y
acuminatum|acuminata|Y
acupoints|acupoint|Y
acupunctures|acupuncture|Y
acylations|acylation|Y
acylethanolamines|acylethanolamine|Y
acyltransferases|acyltransferase|Y
adamantinomas|adamantinoma|Y
adaptation|acclimatization|Y
adaptations|acclimatization|Y
adaptins|adaptin|Y
addiction|depend|Y
addictions|depend|Y
addisons|addison|Y
additives|additive|Y
adenitis|adenitides|Y
adenocarcinomas|adenocarcinoma|Y
adenofibromas|adenofibroma|Y
adenohypophysis|adenohypophyses|Y
adenoidectomy|adenoidectomies|Y
adenoids|adenoid|Y
adenolymphomas|adenolymphoma|Y
adenomas|adenoma|Y
adenomyosis|adenomyoses|Y
adenoviruses|adenovirus|Y
adhesins|adhesin|Y
adhesions|adhesion|Y
adhesivenesses|adhesiveness|Y
adhesives|adhesive|Y
adies||Y
adie||Y
adipoceres|adipocere|Y
adipose|obesities|Y
adjustments|adjustment|Y
adjuvants|adjuvant|Y
administration|ther|Y
administrations|admin|Y
administrative|admin|Y
administrators|administrator|Y
admissions|admission|Y
admitting|admit|Y
adnexitis|adnexitides|Y
adolescences|adolescence|Y
adolescents|adolescent|Y
adoptions|adoption|Y
adrenalectomy|adrenalectomies|Y
adrenoceptors|adrenoceptor|Y
adrenocorticotropic|adrenocorticotrophic|Y
adrenoleukodystrophy|adrenoleukodystrophies|Y
adrenoreceptors|adrenoreceptor|Y
adsorptions|adsorption|Y
adulterations|adulteration|Y
adultorums|adultorum|Y
adults|adult|Y
advertisements|advertisement|Y
advertisings|advertising|Y
advocacy|advocacies|Y
aedes|aede|Y
aerobiosis|aerobioses|Y
aerophagy|aerophagies|Y
aerosols|aerosol|Y
aeruginocine|aeruginocin|Y
aethiops|aethiop|Y
affiliation|relat|Y
affiliations|relat|Y
affinity|affinities|Y
afibrinogenemias|afibrinogenemia|Y
aflatoxins|aflatoxin|Y
aftereffects|aftereffect|Y
afterimages|afterimage|Y
agammaglobulinemias|agammaglobulinemia|Y
agency|agencies|Y
agents|agent|Y
ages|age|Y
ageusias|ageusia|Y
agglutinations|agglutination|Y
agglutinins|agglutinin|Y
aggregation|aggregating|Y
aggregations|aggregating|Y
aggressions|aggression|Y
agings|aging|Y
agitations|agitation|Y
agnosias|agnosia|Y
agoraphobias|agoraphobia|Y
agrammatisms|agrammatism|Y
agranulocytosis|agranulocytoses|Y
agraphias|agraphia|Y
agreements|agreement|Y
agricultures|agriculture|Y
aides|aide|Y
aids|aid|Y
aircrafts|aircraft|Y
airflows|airflow|Y
airplane|aircraft|Y
airs|air|Y
airsicknesses|airsickness|Y
alanyl|alanine|Y
alastrims|alastrim|Y
albas|alba|Y
albinisms|albinism|Y
albino|albinism|Y
albumins|albumin|Y
albuminurias|albuminuria|Y
alchemy|alchemies|Y
alcoholics|alcoholic|Y
alcoholisms|alcoholism|Y
alcohols|alcohol|Y
aldehydes|aldehyde|Y
aldimines|aldimine|Y
alexias|alexia|Y
alexithymias|alexithymia|Y
alfalfas|alfalfa|Y
alginates|alginate|Y
algorithms|algorithm|Y
alienations|alienation|Y
aliens|alien|Y
alignments|alignment|Y
alizarine|alizarin|Y
alkalies|alkali|Y
alkalis|alkali|Y
alkaloids|alkaloid|Y
alkalosis|alkaloses|Y
alkanes|alkane|Y
alkaptonurias|alkaptonuria|Y
alkylations|alkylation|Y
allantois|allantoi|Y
allapinine|allapinin|Y
allatas|allata|Y
alleles|allele|Y
allergens|allergen|Y
allergic|allergies|Y
allergy|allergies|Y
alligators|alligator|Y
alloantigens|alloantigen|Y
allocations|allocation|Y
allogenic|allogeneic|Y
allografts|allograft|Y
allophycocyanins|allophycocyanin|Y
allotypes|allotype|Y
allowances|allowance|Y
allowed|allowable|Y
alloys|alloy|Y
almanacs|almanac|Y
alopecias|alopecia|Y
alouattas|alouatta|Y
aloxiprine|aloxiprin|Y
alpacas|alpaca|Y
alpha-methyldigitoxigenin|alpha-methyl-digitoxigenin|Y
alphaviruses|alphavirus|Y
alports|alport|Y
alteration|adjustment|Y
alterations|adjustment|Y
