LF1|LF2|Synonym
cartilage-derived morphogenetic protein-1|Cartilage-derived morphogenetic protein-1|Y
quantitative real time polymerase chain reaction assay|quantitative reverse transcription polymerase chain reaction assay|N
phorbol myristic acetate|phorbol myristate acetate|Y
anterior temporal lobectomy|anterior temporal lobe|N
laparoscopic hysterectomy|laparoscopic hepatectomy|N
Platelet-derived growth factor bb|platelet derived growth factor BB|Y
American Society of Anaesthesiology status 1|American Society of Anaesthesiologists status 1|Y
palmo-plantar pustular psoriasis|palmoplantar pustulosis|Y
mammalian gonadotropin releasing hormone|mammalian gonadotropin-releasing hormone|Y
type 1 cannabinoid receptor|cannabinoid 1 receptor|Y
American Society of Anaesthesiologists physical status I|American Society of Anaesthesiology status 1|Y
paradoxical vocal cord movement|paradoxical vocal cord motion|Y
ventral posteromedial thalamic nucleus|ventral posteromedial nucleus|Y
alpha-ketoisocaproate|ketoisocaproate|Y
glutamate receptor 2|glutamate receptor subunit 2|N
thrombin-antithrombin complex|thrombin antithrombin III complex|Y
Erythroid Kruppel-like factor|erythroid Kruppel-like factor|Y
glycolate oxidase|glucose oxidase|N
class II transactivator|class II transcriptional activator|Y
in vivo expression technology|vivo expression technology|Y
5-phosphoribosyl 1-pyrophosphate|phosphoribosylpyrophosphate|Y
artemisinin based combination therapy|artemisinin combination therapy|Y
membrane-associated guanylate kinase|Membrane-associated guanylate kinase|Y
thoracic duct fistula|thoracic duct flow|N
Health Insurance Portability and Accountability Act|Health Insurance Portability and Accountability Act of 1996|Y
magnetic-activated cell separation|magnetic-activated cell sorter|Y
human adenovirus 15|human adenovirus type 15|Y
mucopolysaccharidosis type 1|mucopolysaccharidosis 1|Y
lysine acetylsalicylic acid|lysine acetylsalicylate|N
electronystagmogram|electronystagmograph|Y
transforming growth factor β receptor I|transforming growth factor-beta receptor type I|Y
American Society of Anesthesiologists Class 1|American Society of Anesthesiology physical status 1|Y
diffuse intravascular coagulation|disseminated intravascular coagulation|Y
L-type amino acid transporter 1|large amino acid transporter 1|Y
adenylate cyclase 9|adenylyl cyclase 9|Y
vasoactive intestinal polypeptide receptor antagonist|vasoactive intestinal peptide receptor antagonist|Y
ankle brachial index|ankle brachial pressure index|Y
hypo-osmotic swelling test|hypoosmotic swelling test|Y
placenta conditioned medium|platelet conditioned medium|N
alpha-atrial natriuretic polypeptide|alpha atrial natriuretic peptide|Y
zonula occludens 1|zonula occludens 1 protein|Y
ovine corticotropin releasing factor|ovine corticotropin-releasing factor|Y
inhibition constant|inhibitory constant|Y
