LF1|LF2|Synonym
hydroxyeicosatetraenoic acid|dihydroxyeicosatetraenoic acid|
beta site amyloid precursor protein-cleaving enzyme-2|beta-amyloid precursor protein-cleaving enzyme|
corticotropin-releasing-hormone receptor|corticotrophin-releasing-hormone receptor type-2|
transforming growth factor beta-1|transforming growth factor beta(1)|
receptor-like protein-tyrosine phosphatase ψ|receptor-like protein-tyrosine phosphatase-psi|
American Society of Anaesthesiology Grade V|American Society of Anesthesiology Grade 5|
reovirus type 3 Dearing|reovirus strain type 3 Dearing|
growth hormone release inhibitory hormone|growth hormone releasing hormone|
cyclicAMP response element binding protein|phosphorylated cyclic AMP response element-binding protein|
ventrolateral prefrontal cortex|dorsolateral prefrontal cortex|
extracellular signal-regulated kinases|extracellular-signal-regulated protein kinase|
interleukin-7 receptor α chain|interleukin-3 receptor α subunit|
crosspolarization/magic-angle-spinning nuclear magnetic resonance spectroscopy|cross polarization/magic angle spinning nuclear magnetic resonance spectroscopy|
augmented correlation-consistent polarized valence triple-zeta basis set|augmented correlation consistent polarised valence double ζ basis set|
receptor protein tyrosine phosphatase γ|T-cell protein tyrosine phosphatase|
thyrotrophin-releasing hormone receptor-1|thyrotropin releasing hormone receptor|
pregnancy specific beta1 glycoprotein|pregnancy-specific glycoprotein 2|
computed tomographic scanning|computed tomographic|
A disintegrin and metalloproteinase 12|A disintegrin and metalloprotease 9|
complementary DNA amplified fragment length polymorphism|amplified fragment length polymorphism|
rabbit antigoat immunoglobulin G|antigoat immunoglobulin G|
oxidised low density lipoprotein receptor-1|lectin-like oxidised low density lipoprotein receptor-1|
myeloproliferative disease|proliferative gill disease|
type I interleukin 1 receptor|interleukin 9 receptor|
interleukine-18 receptor-α|interleukine-5 receptor α|
collagen type 6 α-3|collagen type I-α2|
interferon-alpha2b|interferon alpha-II|
interleukin-12 receptor β1|interleukin-12 receptor β 2 chain|
NaCl co-transporter|Na-K-2Cl co-transporter-2|
cluster of differentiation antigen 30|cluster of differentiation 17|
American Society of Anaesthesiology physical status 4|American Society of Anesthesiologists Status II|
phospholipase C δ 1|phospholipase C-δ 1|
dopamine 1 receptor|dopamine type 2 receptor|
a disintegrin and metalloprotease-15|A disintegrin and metalloproteinase 19|
cemento-ossifying fibroma|ossifying fibroma|
uncoordinated protein 32|uncoordinated protein 64|
American Society of Anesthesiologists Grade 5|American Society of Anesthesiologists status V|
ras-related GTP-binding protein 11|ras-related GTP-binding protein 2A|
right lower extremity|lower extremity|
proteasome subunit alpha type 7|proteasome subunit β type 4|
single-strand conformational polymorphism analysis|single strand conformation polymorphism analysis|
A disintegrin and metalloprotease 4|a disintegrin and metalloproteinase 13|
American Society of Anesthesiology|American Society of Anaesthesiology score|
microtubule-associated protein-2d|microtubule associated protein 5|
subdural hæmatoma|subdural hematoma|
interleukine 5 receptor-α chain|interleukine-18 receptor alpha chain|
augmented correlation consistent polarized valence double ζ basis set|augmented correlation-consistent polarised valence quadruple-ζ basis set|
krüppel-like factor 2|krüppel-like factor 8|
American Society of Anaesthesiology physical status 5|American Society of Anaesthesiologists status II|
untreated non-Hodgkin's lymphoma|unfavorable non-Hodgkin lymphoma|
near infrared fluorescence|near-infra-red fluorescence imaging|
antimycin-A-treated|antimycin A-treated|
human immunodeficiency virus 1|human immunodeficiency virus antigen|
penicillinase|penicillamine|
IL-12 receptor β1 chain|IL-7 receptor α chain|
corrected QT intervals|corrected-QT interval|
A disintegrin and metalloprotease 17|A disintegrin and metalloproteinase 21|
cranial computerised tomography|Spiral computed tomography|
mixed leukocyte-tumor cell|mixed leukocyte-tumor cell culture|
Pituitary adenylate cyclase-activating polypeptide-38|pituitary adenylate cyclase activating polypeptide-38|
American Society of Anaesthesiology class II|American Society of Anaesthesiology physical status IV|
fluorine-18 labelled fluoro-deoxy-glucose|fluorine-18-fluoro-deoxy-glucose|
nonpigmented ciliary epithelium|non-pigmented epithelium|
idiotope|idiotype|
abdominal computerized tomography scan|computerised tomography scan|
follicle-stimulating hormone level|thyroid stimulating hormone level|
interleukine-13 receptor α 1|interleukine 13 receptor α2 subunit|
American Society of Anaesthesiology class 5|American Society of Anaesthesiology grade I|
