LF1|LF2|Synonym
hydroxyeicosatetraenoic acid|dihydroxyeicosatetraenoic acid|N
beta site amyloid precursor protein-cleaving enzyme-2|beta-amyloid precursor protein-cleaving enzyme|Y
corticotropin-releasing-hormone receptor|corticotrophin-releasing-hormone receptor type-2|N
transforming growth factor beta-1|transforming growth factor beta(1)|Y
receptor-like protein-tyrosine phosphatase ψ|receptor-like protein-tyrosine phosphatase-psi|Y
American Society of Anaesthesiology Grade V|American Society of Anesthesiology Grade 5|Y
reovirus type 3 Dearing|reovirus strain type 3 Dearing|Y
growth hormone release inhibitory hormone|growth hormone releasing hormone|N
cyclicAMP response element binding protein|phosphorylated cyclic AMP response element-binding protein|N
ventrolateral prefrontal cortex|dorsolateral prefrontal cortex|N
extracellular signal-regulated kinases|extracellular-signal-regulated protein kinase|Y
interleukin-7 receptor α chain|interleukin-3 receptor α subunit|Y
crosspolarization/magic-angle-spinning nuclear magnetic resonance spectroscopy|cross polarization/magic angle spinning nuclear magnetic resonance spectroscopy|Y
augmented correlation-consistent polarized valence triple-zeta basis set|augmented correlation consistent polarised valence double ζ basis set|N
receptor protein tyrosine phosphatase γ|T-cell protein tyrosine phosphatase|N
thyrotrophin-releasing hormone receptor-1|thyrotropin releasing hormone receptor|N
pregnancy specific beta1 glycoprotein|pregnancy-specific glycoprotein 2|N
computed tomographic scanning|computed tomographic|Y
A disintegrin and metalloproteinase 12|A disintegrin and metalloprotease 9|N
complementary DNA amplified fragment length polymorphism|amplified fragment length polymorphism|N
rabbit antigoat immunoglobulin G|antigoat immunoglobulin G|N
oxidised low density lipoprotein receptor-1|lectin-like oxidised low density lipoprotein receptor-1|N
myeloproliferative disease|proliferative gill disease|N
type I interleukin 1 receptor|interleukin 9 receptor|N
interleukine-18 receptor-α|interleukine-5 receptor α|N
collagen type 6 α-3|collagen type I-α2|N
interferon-alpha2b|interferon alpha-II|N
interleukin-12 receptor β1|interleukin-12 receptor β 2 chain|N
NaCl co-transporter|Na-K-2Cl co-transporter-2|N
cluster of differentiation antigen 30|cluster of differentiation 17|N
American Society of Anaesthesiology physical status 4|American Society of Anesthesiologists Status II|N
phospholipase C δ 1|phospholipase C-δ 1|Y
dopamine 1 receptor|dopamine type 2 receptor|N
a disintegrin and metalloprotease-15|A disintegrin and metalloproteinase 19|N
cemento-ossifying fibroma|ossifying fibroma|Y
uncoordinated protein 32|uncoordinated protein 64|N
American Society of Anesthesiologists Grade 5|American Society of Anesthesiologists status V|Y
ras-related GTP-binding protein 11|ras-related GTP-binding protein 2A|N
right lower extremity|lower extremity|N
proteasome subunit alpha type 7|proteasome subunit β type 4|N
single-strand conformational polymorphism analysis|single strand conformation polymorphism analysis|Y
A disintegrin and metalloprotease 4|a disintegrin and metalloproteinase 13|N
American Society of Anesthesiology|American Society of Anaesthesiology score|N
microtubule-associated protein-2d|microtubule associated protein 5|N
subdural hæmatoma|subdural hematoma|Y
interleukine 5 receptor-α chain|interleukine-18 receptor alpha chain|N
augmented correlation consistent polarized valence double ζ basis set|augmented correlation-consistent polarised valence quadruple-ζ basis set|N
krüppel-like factor 2|krüppel-like factor 8|N
American Society of Anaesthesiology physical status 5|American Society of Anaesthesiologists status II|N
untreated non-Hodgkin's lymphoma|unfavorable non-Hodgkin lymphoma|N
near infrared fluorescence|near-infra-red fluorescence imaging|N
antimycin-A-treated|antimycin A-treated|Y
human immunodeficiency virus 1|human immunodeficiency virus antigen|N
penicillinase|penicillamine|N
IL-12 receptor β1 chain|IL-7 receptor α chain|N
corrected QT intervals|corrected-QT interval|Y
A disintegrin and metalloprotease 17|A disintegrin and metalloproteinase 21|N
cranial computerised tomography|Spiral computed tomography|N
mixed leukocyte-tumor cell|mixed leukocyte-tumor cell culture|N
Pituitary adenylate cyclase-activating polypeptide-38|pituitary adenylate cyclase activating polypeptide-38|Y
American Society of Anaesthesiology class II|American Society of Anaesthesiology physical status IV|N
fluorine-18 labelled fluoro-deoxy-glucose|fluorine-18-fluoro-deoxy-glucose|Y
nonpigmented ciliary epithelium|non-pigmented epithelium|N
idiotope|idiotype|N
abdominal computerized tomography scan|computerised tomography scan|N
follicle-stimulating hormone level|thyroid stimulating hormone level|N
interleukine-13 receptor α 1|interleukine 13 receptor α2 subunit|N
